SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,TPopulation1Jan,TPopulation1July,TPopulationMale1July,TPopulationFemale1July,PopDensity,PopSexRatio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,DoublingTime,Births,Births1519,CBR,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,CDR,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,IMR,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Q0060,Q0060Male,Q0060Female,Q1550,Q1550Male,Q1550Female,Q1560,Q1560Male,Q1560Female,NetMigrations,CNMR
12,901,d,,,514.0,5,Development group,1803,More developed regions,2,Medium,2000,1187801.871,1189851.258,577143.991,612707.267,24.2538,94.1957,36.3074,1057.99,0.89,4098.774,0.344,,13248.293,1024.251,11.148,1.5738,0.7534,27.986,105.6,12190.303,6211.909,5978.394,10.258,75.2499,71.4999,78.9875,61.1012,57.4157,64.7562,17.0224,15.0542,18.5729,7.9005,6.9052,8.4291,99.347,7.5143,13161.645,124.069,9.3854,41.8653,57.531,25.6098,146.0571,198.2992,92.1833,68.2173,97.3797,38.2692,136.0737,187.6426,83.0961,3040.843,2.559
12,901,d,,,514.0,5,Development group,1803,More developed regions,2,Medium,2001,1191900.645,1193679.488,579014.223,614665.265,24.3318,94.1999,36.6104,962.97,0.808,3557.687,0.298,,13142.076,992.219,11.022,1.5635,0.7494,28.09,105.4,12179.106,6214.197,5964.909,10.214,75.4903,71.7574,79.2106,61.3093,57.6389,64.9499,17.1794,15.218,18.7316,8.0164,7.0191,8.5479,95.052,7.2294,13059.445,118.737,9.0308,40.7329,56.0229,24.8719,144.0594,195.62,90.8868,66.995,95.6441,37.589,134.4661,185.3732,82.1578,2594.816,2.176
12,901,d,,,514.0,5,Development group,1803,More developed regions,2,Medium,2002,1195458.332,1197463.131,580813.324,616649.808,24.409,94.1885,36.9109,789.236,0.66,4009.598,0.335,,13177.306,968.496,11.019,1.5696,0.7521,28.197,105.5,12388.07,6323.876,6064.194,10.359,75.5222,71.8012,79.2423,61.3206,57.6573,64.9668,17.1888,15.2427,18.742,8.0253,7.04,8.5532,93.26,7.0862,13096.153,115.721,8.8001,40.2539,55.3764,24.5714,144.1128,195.8644,90.7219,66.7101,95.3073,37.3723,134.7675,185.9231,82.1718,3220.387,2.693
12,901,d,,,514.0,5,Development group,1803,More developed regions,2,Medium,2003,1199467.93,1201500.95,582742.85,618758.1,24.4913,94.1794,37.1955,757.953,0.632,4066.039,0.338,,13324.862,954.078,11.105,1.5873,0.7609,28.312,105.5,12566.909,6405.085,6161.824,10.473,75.6161,71.9379,79.297,61.3847,57.7605,64.9965,17.2078,15.2859,18.7511,8.022,7.0572,8.5411,90.818,6.8306,13245.859,112.355,8.4786,39.3375,54.0791,24.0626,144.0279,195.8924,90.609,65.7124,93.8443,36.8774,135.045,186.3621,82.3617,3308.184,2.757
12,901,d,,,514.0,5,Development group,1803,More developed regions,2,Medium,2004,1203533.969,1205826.316,584833.001,620993.316,24.5794,94.177,37.4592,1195.935,0.993,4584.695,0.38,,13458.268,948.814,11.176,1.6041,0.7694,28.408,105.5,12262.333,6288.418,5973.915,10.183,76.1057,72.4251,79.7742,61.8452,58.2144,65.4497,17.5472,15.5876,19.1214,8.2854,7.2817,8.826,88.861,6.6158,13381.052,109.063,8.1528,37.8473,52.1143,23.0762,140.7597,191.8456,88.3038,63.1742,90.3107,35.3916,132.1493,182.7295,80.3732,3388.812,2.814
12,901,d,,,514.0,5,Development group,1803,More developed regions,2,Medium,2005,1208118.664,1210237.918,586972.26,623265.658,24.6694,94.1769,37.7098,1003.699,0.83,4238.507,0.35,,13493.836,936.97,11.164,1.6094,0.7723,28.499,105.4,12490.137,6398.603,6091.534,10.334,76.1876,72.5258,79.8456,61.9072,58.2961,65.5005,17.5637,15.6179,19.1381,8.2508,7.2541,8.7929,86.714,6.4343,13418.602,106.405,7.9235,37.2833,51.4301,22.6335,140.6445,192.1096,87.8561,62.1648,88.864,34.83,132.2751,183.2328,80.1684,3234.956,2.676
12,901,d,,,514.0,5,Development group,1803,More developed regions,2,Medium,2006,1212357.171,1214817.816,589199.288,625618.529,24.7627,94.1787,37.9509,1561.533,1.287,4921.291,0.405,,13780.247,948.554,11.358,1.6449,0.7898,28.565,105.4,12218.714,6237.893,5980.821,10.071,76.7299,73.1698,80.2547,62.4203,58.9048,65.888,17.9083,15.9913,19.4509,8.4507,7.4493,8.9976,85.203,6.2098,13706.171,103.581,7.5936,35.5412,48.807,21.8186,135.5804,184.5699,85.569,58.9472,83.8496,33.4917,127.5693,176.1061,78.1624,3359.828,2.769
12,901,d,,,514.0,5,Development group,1803,More developed regions,2,Medium,2007,1217278.462,1220183.669,591849.149,628334.52,24.8721,94.1933,38.1884,1845.467,1.515,5810.414,0.476,,14052.177,952.603,11.534,1.6782,0.8062,28.642,105.4,12206.71,6227.03,5979.68,10.019,77.0591,73.5457,80.5292,62.7314,59.2597,66.1481,18.0907,16.1779,19.6356,8.5229,7.5151,9.0827,84.738,6.0573,13978.542,102.566,7.3902,34.3067,47.0566,21.1286,131.7511,179.2551,83.3866,56.4899,80.2359,32.234,123.9526,171.0296,76.1551,3965.03,3.254
12,901,d,,,514.0,5,Development group,1803,More developed regions,2,Medium,2008,1223088.876,1225881.271,594687.688,631193.582,24.9882,94.2164,38.4166,1985.687,1.622,5584.789,0.456,,14295.156,945.745,11.677,1.7067,0.8204,28.721,105.4,12309.469,6262.119,6047.35,10.055,77.2959,73.8409,80.7041,62.9391,59.5242,66.296,18.2259,16.3472,19.7482,8.5436,7.5479,9.1071,82.421,5.7882,14223.642,99.887,7.0788,33.1542,45.4765,20.4261,129.2265,175.751,81.9529,54.6678,77.4559,31.4004,121.7718,167.881,75.0455,3599.259,2.94
12,901,d,,,514.0,5,Development group,1803,More developed regions,2,Medium,2009,1228673.665,1231215.428,597343.14,633872.288,25.097,94.2371,38.6553,2019.551,1.642,5083.525,0.413,,14201.096,896.177,11.548,1.6962,0.8154,28.83,105.4,12181.545,6189.938,5991.607,9.906,77.7106,74.3309,81.0261,63.3309,59.987,66.6006,18.5114,16.6515,20.0176,8.6996,7.6995,9.2741,78.931,5.563,14132.869,95.66,6.78,31.8031,43.3184,19.9251,125.0021,169.3483,80.1079,52.3107,73.5925,30.6055,117.8158,161.7868,73.4134,3063.954,2.492
