Index,Subregion,  Eastern Africa,  Middle Africa,  Northern Africa,  Southern Africa,  Western Africa,  Central Asia,  Eastern Asia,  South-Eastern Asia,  Southern Asia,  Western Asia,  Eastern Europe,  Northern Europe,  Southern Europe,  Western Europe,  Caribbean,  Central America,  South America,  Australia and New Zealand,  Melanesia,  Micronesia,  Polynesia*
1,  Eastern Africa,..,1 251 025, 708 035, 66 040, 17 483,.., 7 979, 1 163, 52 982, 20 660,  405, 18 334, 5 796, 117 627,  57,..,..,  373,..,..,..
2,  Middle Africa, 436 882,.., 401 250, 7 249, 541 785,.., 1 641,..,.., 3 722, 2 701,  318, 9 287, 50 500,  531,..,..,  10,..,..,..
3,  Northern Africa,1 379 123, 144 667,.., 1 180, 44 777, 4 512, 8 993, 41 271, 14 793, 903 769, 21 115, 16 975, 27 273, 85 229,  29, 1 038,  778, 1 361,..,..,..
4,  Southern Africa,1 433 038, 187 553, 12 321,.., 54 455,  42, 21 637, 7 449, 70 109, 15 988, 31 512, 93 943, 62 236, 67 284, 3 442,  647, 9 685, 10 626,  121,  53,  23
5,  Western Africa, 6 606, 146 642, 63 345, 2 079,.., 2 146, 9 952, 1 573, 3 411, 13 839, 1 512, 2 571, 8 028, 25 809, 9 655,  404, 6 258,  45,  25,  29, 1 817
6,  Central Asia,  21,..,  128,..,  20,.., 103 107,  123, 16 439, 166 980,4 411 336, 11 520,.., 11 634,  20,..,..,  107,..,..,..
7,  Eastern Asia,..,.., 1 959, 2 160, 7 260, 59 664,..,2 040 250, 258 218,  236, 22 061, 56 013, 11 814, 36 383,.., 2 735, 328 942, 40 224,..,..,..
8,  South-Eastern Asia, 3 492,  689, 3 756,  864,  397,.., 896 162,..,1 733 636, 23 055,  511, 59 120, 5 045, 21 674,  145,  227, 1 389, 43 908,  62, 1 106,..
9,  Southern Asia, 54 863,..,  208,  262,  903, 7 028, 307 829,1 520 414,.., 163 263, 1 398, 59 593, 5 844, 5 913,  36,.., 14 628, 4 570,  779,..,..
10,  Western Asia, 637 809, 10 546,3 949 356, 16 888, 28 522, 95 152, 31 898,4 294 915,18 979 129,..,1 334 070, 180 436, 332 995, 602 270,  300, 2 901, 63 335, 10 968,  1,..,..
11,  Eastern Europe, 5 891, 4 335, 23 714, 2 785, 10 487,5 608 308, 156 229, 103 777, 54 996,2 113 793,.., 546 407, 326 399, 498 007, 5 294, 4 316, 14 197, 5 705,  59,  58,  656
12,  Northern Europe,1 010 801, 74 790, 200 986, 276 484, 467 833, 42 629, 544 672, 640 548,2 355 410,1 080 927,2 804 341,..,1 036 509, 912 528, 271 966, 33 792, 284 129, 246 328, 8 868,  257,  843
13,  Southern Europe, 196 293, 281 276,1 657 632, 31 366, 704 169, 53 359, 465 123, 255 069, 798 042, 402 595,3 253 702, 603 637,..,1 630 782, 443 198, 273 561,2 971 721, 69 575,  259,  357,  599
14,  Western Europe, 640 050, 540 512,4 011 942, 62 164, 820 764,1 327 858, 583 269, 931 644,1 301 495,4 384 233,7 043 559, 786 526,5 652 638,.., 197 987, 85 747, 810 016, 61 115, 1 967,  33,  357
15,  Caribbean, 1 048,  196,  351,  233, 1 148,  10, 10 723, 5 507, 6 914, 2 279, 1 629, 21 639, 20 794, 134 296,.., 14 137, 177 107,  507,..,..,  19
16,  Central America,  229,  270, 1 020,  343,  540,  7, 53 196, 3 973, 9 366, 7 732, 9 068, 11 178, 48 582, 35 210, 51 844,.., 398 956, 1 207,  1,  6,..
17,  South America, 2 952, 13 468, 7 844, 2 632, 16 517,  133, 221 827, 5 635, 13 816, 61 251, 45 730, 31 806, 825 718, 170 236, 424 484, 70 263,.., 3 737,  11,  137,  5
18,  Australia and New Zealand, 187 620, 8 737, 80 128, 277 311, 31 277, 5 389,1 149 596,1 211 798,1 235 711, 359 282, 194 868,1 734 126, 624 909, 355 450, 6 593, 22 048, 180 834,.., 152 722, 4 096, 163 178
19,  Melanesia,  27,.., 1 865,..,..,.., 1 695, 18 291, 4 820,..,  25, 2 163,  389, 47 197,..,..,.., 15 282,.., 1 051, 14 602
20,  Micronesia,..,..,..,..,..,.., 13 317, 46 271,  985,..,..,  7,..,.., 5 094,..,..,  188,  826,..,  407
21,  Polynesia*,  27,..,  681,..,..,.., 1 796, 1 345,  215,..,..,  202,  228, 23 831,..,..,.., 5 902, 5 171,  81,..
